subject,relation,object
The Recovery & Education Center (Wedge Recovery Center),telephone,"""tel:+1-215-276-3922"""
The Recovery & Education Center (Wedge Recovery Center),text,"""Wedge Recovery Center's Recovery & Education Center (REC) is a day program that combines Outpatient Mental Health Services and Psychiatric Rehabilitation to provide specialized services for individuals who carry a diagnosis of a major mood disorder, a psychotic disorder and/or Borderline Personality Disorder to ensure people in recovery have a safe space to redefine themselves. We offer: - Educational groups- Peer Support- Health, Wellness, and Faith-Based services- Community-based Support and Learning- Individual Therapy and Crisis Support- Group Therapy- Psychiatry (Medication Management)- Co-occurring (Mental Health and Drug & Alcohol) Support- Optional Older Adult ProgramOur ultimate goal is to help a person understand that they are a valued and needed part of society. No person’s recovery journey is the same, therefore there is no standard timeframe on REC services. Scheduling is choice-driven, members choose from the “menu” of services for the days, times, and activities that best fit their personal needs. The Older Adult Program is open on Saturdays, as well.Once a person completes the REC program they are welcome to transition to our Mental Health Outpatient program. If a person wishes to attend REC, they are able to do so right away, there is no waiting time for starting REC services.We accept Medicaid insurance for all of our REC services."""
The Recovery & Education Center (Wedge Recovery Center),xmlschema11-2#time,"""Saturday Closed"
The Recovery & Education Center (Wedge Recovery Center),xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
The Recovery & Education Center (Wedge Recovery Center),xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
The Recovery & Education Center (Wedge Recovery Center),xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
The Recovery & Education Center (Wedge Recovery Center),xmlschema11-2#time,"""Sunday Closed"
The Recovery & Education Center (Wedge Recovery Center),xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
The Recovery & Education Center (Wedge Recovery Center),xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
The Recovery & Education Center (Wedge Recovery Center),conditionsOfAccess,""""""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),latitude,40.0266061
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),availability,Available
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),audience,AllMentalHealth
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),language,English
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,AlternativeEducation
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),cost,ReducedCost
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,MentalHealthCare
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),audience,Teens
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,FamilyCounseling
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,HospitalTreatment
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,ResidentialCare
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,GroupTherapy
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,MentalHealthEvaluation
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,IndividualCounseling
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),audience,SubstanceDependency
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),category,AddictionAndRecovery
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),audience,BenefitRecipients
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),audience,DualDiagnosis
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),service type,Mental Health
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),postalCode,"""19124"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),url,"""None"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),identifier,"""Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)_4822984222310400"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),name,""""""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),name,"""Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),hasMap,XMLSchema#anyUri
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),provider,Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),address,"""4641 Roosevelt Boulevard, Philadelphia, PA 19124"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),longitude,XMLSchema#decimal
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),availableChannel,AB-Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),availableChannel,P-Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),containedInPlace,19124
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),description,Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),telephone,"""tel:+1-215-831-4600"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),text,"""Friends Hospital provides psychiatric treatment and support to adolescents so they can begin to identify challenges, better handle frustrations and develop constructive, healthy behaviors. Program services takes place in a dedicated adolescent unit with separate wings for males and female patients.This program provides:- Treatment for all major psychiatric disorders and co-occurring substance issues- Holistic and patient-centered treatment approach- Individualized treatment, wellness and discharge plans- Individual, group and family therapy- Academic support (includes educational assessment and daily educational instruction from a certified teacher)Almost all major health insurances, including Medicaid and Medicare are accepted. It is the policy of Friends Hospital not to create a financial hardship for any patient. If necessary, a payment plan appropriate to the patient’s financial status can be established.To make the admission process go as smoothly as possible, please download and complete our authorization completion instructions and authorization to obtain or release protected health information form. To schedule a confidential assessment or learn more about the admission process, please call the admission department."""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),xmlschema11-2#time,"""Thursday from 00:00 to 23:59"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),xmlschema11-2#time,"""Friday from 00:00 to 23:59"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),xmlschema11-2#time,"""Tuesday from 00:00 to 23:59"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),xmlschema11-2#time,"""Sunday from 00:00 to 23:59"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),xmlschema11-2#time,"""Wednesday from 00:00 to 23:59"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),xmlschema11-2#time,"""Saturday from 00:00 to 23:59"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),xmlschema11-2#time,"""Monday from 00:00 to 23:59"""
Adolescent Behavioral Health Inpatient Treatment (Friends Hospital),conditionsOfAccess,"""This program helps people who are 13 to 17 years old.', 'Must have Medicare and Medicaid."""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),latitude,40.0159527
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,Pregnant
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,SubstanceDependency
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,IndividualCounseling
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,AllMentalHealth
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,SubstanceAbuseCounseling
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,Lgbtqia
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,GroupTherapy
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,OutpatientTreatment
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,DualDiagnosis
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,MentalHealthCare
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,TraumaSurvivors
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,NavigatingTheSystem
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,DomesticViolenceSurvivors
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,Childcare
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),language,English
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,Parents
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,AbuseOrNeglectSurvivors
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,Female
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,Childcare
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),availability,Available
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),category,MedicationsForMentalHealth
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,Adults18
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),cost,Free
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),audience,SingleParent
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),service type,Mental Health
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),postalCode,"""19144"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),url,"""https://www.facebook.com/DrexelCollegeofMedicine"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),identifier,"""Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)_5352792247631872"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),name,"""Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),name,""""""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),hasMap,XMLSchema#anyUri
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),provider,Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),address,"""4700 Wissahickon Avenue, Philadelphia, PA 19144"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),longitude,XMLSchema#decimal
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),availableChannel,AB-Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),availableChannel,P-Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),containedInPlace,19144
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),description,Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),telephone,"""tel:+1-215-967-2130"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),text,"""The Caring Together program helps women and their children overcome substance abuse and start a new life without drugs and alcohol. The program utilizes a multiphase, multidisciplinary approach to treat the addiction and any other issues that may have caused or resulted from substance use.This program provides:- Comprehensive treatment needs assessment- Individual and group counseling- Psychiatric evaluation and treatment, including medication-assisted treatment (MAT)- Substance use education including relapse prevention- Trauma-informed care- Anger management classes- Life skills training- Grief and loss groups- DHS evaluations- A safe recovery environment- Access to medical and dental care- Transportation assistance- GED/ABE program referrals- Medical insurance assistance- Employment training referrals- Housing referralsFor women with children, the program offers:- Parenting education- Family reunification assistance- Coordinated case management- Child care during treatment- Child development assessments- Assistance with health care, head-start programs, after-school programs, school-related issues, etc.The program offers a safe recovery environment and is especially beneficial to those who are pregnant or parenting, members of the LGBTQI+ community, and survivors of abuse, as well as anyone experiencing mental health challenges or domestic violence."""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),xmlschema11-2#time,"""Saturday Closed"
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),xmlschema11-2#time,"""Sunday Closed"
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
Caring Together Program (Department of Psychiatry at Drexel University College of Medicine),conditionsOfAccess,"""This program helps people who are older than 17 years old.', 'This program serves women, and women with children who are seeking treatment for substance use disorder."""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",latitude,40.0294574
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",category,SubstanceAbuseCounseling
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",availability,NotSpecified
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",audience,Adults
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",category,Counseling
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",category,Detox
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",cost,NotSpecified
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",audience,OpioidDependency
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",audience,SubstanceDependency
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",language,English
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",service type,Mental Health
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",postalCode,"""19136"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",identifier,"""Opioid Treatment Program (Northeast Treatment Centers, Inc,)_6410727744077824"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",name,"""Opioid Treatment Program (Northeast Treatment Centers, Inc,)"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",name,""""""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",hasMap,XMLSchema#anyUri
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",provider,"Opioid Treatment Program (Northeast Treatment Centers, Inc,)"
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",address,"""7520 State Road, Philadelphia, PA 19136"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",longitude,XMLSchema#decimal
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",availableChannel,"AB-Opioid Treatment Program (Northeast Treatment Centers, Inc,)"
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",availableChannel,"P-Opioid Treatment Program (Northeast Treatment Centers, Inc,)"
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",containedInPlace,19136
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",description,"Opioid Treatment Program (Northeast Treatment Centers, Inc,)"
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",telephone,"""tel:+1-267-348-3550"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",text,"""This program provides Medication-Assisted Treatment services for those addicted to opiods such as oxycodone, codeine, fentanyl, morphine, heroin and others. Common treatment drugs are methadone, buprenorphine (Suboxone and Subutex), or naltrexone. Check with this program to see what options are available."""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",xmlschema11-2#time,"""Saturday Closed"
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",xmlschema11-2#time,"""Sunday Closed"
"Opioid Treatment Program (Northeast Treatment Centers, Inc,)",conditionsOfAccess,""""""
Behavioral Health Services (Covenant House Inc),latitude,40.034643
Behavioral Health Services (Covenant House Inc),language,English
Behavioral Health Services (Covenant House Inc),audience,AllAges
Behavioral Health Services (Covenant House Inc),audience,Depression
Behavioral Health Services (Covenant House Inc),category,UnderstandMentalHealth
Behavioral Health Services (Covenant House Inc),category,Counseling
Behavioral Health Services (Covenant House Inc),category,AddictionAndRecovery
Behavioral Health Services (Covenant House Inc),availability,Available
Behavioral Health Services (Covenant House Inc),category,MentalHealthCare
Behavioral Health Services (Covenant House Inc),audience,AllMentalHealth
Behavioral Health Services (Covenant House Inc),audience,SubstanceDependency
Behavioral Health Services (Covenant House Inc),cost,ReducedCost
Behavioral Health Services (Covenant House Inc),category,MentalHealthEvaluation
Behavioral Health Services (Covenant House Inc),service type,Mental Health
Behavioral Health Services (Covenant House Inc),postalCode,"""19144"""
Behavioral Health Services (Covenant House Inc),url,"""None"""
Behavioral Health Services (Covenant House Inc),identifier,"""Behavioral Health Services (Covenant House Inc)_5683092086849536"""
Behavioral Health Services (Covenant House Inc),name,"""Behavioral Health Services (Covenant House Inc)"""
Behavioral Health Services (Covenant House Inc),name,""""""
Behavioral Health Services (Covenant House Inc),hasMap,XMLSchema#anyUri
Behavioral Health Services (Covenant House Inc),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
