subject,relation,object
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),areaServed,"""This program covers residents of the following cities: Dover, DE, Seaford, DE, Wilmington, DE, Allentown, PA, Berwick, PA, Bethlehem, PA, Boyertown, PA, Carlisle, PA, Chambersburg, PA, Chester, PA, Coal Township, PA, Coatesville, PA, Darby, PA, East Stroudsburg, PA, Easton, PA, Harrisburg, PA, Hazleton, PA, Lancaster, PA, Lebanon, PA, Levittown, PA, Lewistown, PA, Lock Haven, PA, Milton, PA, Norristown, PA, Pen Argyl, PA, Philadelphia, PA, Pottstown, PA, Pottsville, PA, Reading, PA, Scranton, PA, State College, PA, Sunbury, PA, Tamaqua, PA, West Chester, PA, Wilkes Barre, PA, Williamsport, PA and York, PA."""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),provider,Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),address,"""6730 Ridge Avenue, Philadelphia, PA 19128"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),address,"""5501 Market Street, Philadelphia, PA 19139"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),longitude,XMLSchema#decimal
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),longitude,XMLSchema#decimal
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),availableChannel,AB-Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),availableChannel,P-Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),containedInPlace,19128
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),containedInPlace,19139
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),description,Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),telephone,"""tel:+1-215-482-4120"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),telephone,"""tel:+1-215-474-1010"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),text,"""Salvation Army Eastern Pennsylvania & Delaware social workers provide social services to meet the needs of the community. This program provides:- Access to nutritious food- Counseling Services- Financial Education- Spiritual Support- Referrals- Help find work- Resume Building- Interview skills- Job placement- Toys & Gifts (Holiday season)- Clothing (all ages)- Men's and women's support groupsServices offered may change depending on location. Please contact the nearest office for more information."""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Thursday from 09:00 to 16:00"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Friday from 09:00 to 16:00"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Tuesday from 08:00 to 15:30"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Sunday Closed"
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Saturday Closed"
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Wednesday from 09:00 to 16:00"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Wednesday from 08:00 to 15:30"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Friday from 08:00 to 13:30"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Saturday from 09:00 to 16:00"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Thursday from 08:00 to 15:30"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Sunday from 09:00 to 16:00"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Monday from 08:00 to 15:30"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Monday from 09:00 to 16:00"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),xmlschema11-2#time,"""Tuesday from 09:00 to 16:00"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),conditionsOfAccess,"""This program serves residents of Pennsylvania."""
Food Pantry (The North Light Community Center),latitude,40.0286777
Food Pantry (The North Light Community Center),cost,Free
Food Pantry (The North Light Community Center),audience,Individuals
Food Pantry (The North Light Community Center),audience,Families
Food Pantry (The North Light Community Center),audience,LowIncome
Food Pantry (The North Light Community Center),language,English
Food Pantry (The North Light Community Center),category,FoodPantry
Food Pantry (The North Light Community Center),availability,Available
Food Pantry (The North Light Community Center),audience,AllAges
Food Pantry (The North Light Community Center),audience,AnyoneInNeed
Food Pantry (The North Light Community Center),category,FoodPantry
Food Pantry (The North Light Community Center),service type,Food
Food Pantry (The North Light Community Center),postalCode,"""19127"""
Food Pantry (The North Light Community Center),url,"""https://www.facebook.com/NorthLightCommunityCenter/"""
Food Pantry (The North Light Community Center),url,"""https://www.twitter.com/@NorthLight4"""
Food Pantry (The North Light Community Center),identifier,"""Food Pantry (The North Light Community Center)_5763940362747904"""
Food Pantry (The North Light Community Center),name,""""""
Food Pantry (The North Light Community Center),name,"""Food Pantry (The North Light Community Center)"""
Food Pantry (The North Light Community Center),hasMap,XMLSchema#anyUri
Food Pantry (The North Light Community Center),areaServed,"""This program covers residents of the following cities: Philadelphia, PA."""
Food Pantry (The North Light Community Center),provider,Food Pantry (The North Light Community Center)
Food Pantry (The North Light Community Center),address,"""175 Green Lane, Philadelphia, PA 19127"""
Food Pantry (The North Light Community Center),longitude,XMLSchema#decimal
Food Pantry (The North Light Community Center),availableChannel,AB-Food Pantry (The North Light Community Center)
Food Pantry (The North Light Community Center),availableChannel,P-Food Pantry (The North Light Community Center)
Food Pantry (The North Light Community Center),containedInPlace,19127
Food Pantry (The North Light Community Center),description,Food Pantry (The North Light Community Center)
Food Pantry (The North Light Community Center),telephone,"""tel:+1-215-483-4800"""
Food Pantry (The North Light Community Center),text,"""The North Light Community Center provides a food pantry for food insecure households who need access to fresh food, nonperishable food, and other grocery related items. They seek to provide nutritional foods to constituents who depend on the program to supplement and sustain their households.This program provides:- Food to meet basic nutritional needs.If you are coming for the first time, please download and fill out the application form and email it to [emailÂ protected]. North Light provides several Holiday Assistance programs in November and December, such as Thanksgiving boxes, Manayunk Meals & More, and Adopt-a-Family! For more information, check back in late."""
Food Pantry (The North Light Community Center),xmlschema11-2#time,"""Monday from 10:30 to 11:30"""
Food Pantry (The North Light Community Center),xmlschema11-2#time,"""Wednesday Closed"
Food Pantry (The North Light Community Center),xmlschema11-2#time,"""Thursday Closed"
Food Pantry (The North Light Community Center),xmlschema11-2#time,"""Friday from 11:30 to 12:30"""
Food Pantry (The North Light Community Center),xmlschema11-2#time,"""Saturday Closed"
Food Pantry (The North Light Community Center),xmlschema11-2#time,"""Tuesday Closed"
Food Pantry (The North Light Community Center),xmlschema11-2#time,"""Sunday Closed"
Food Pantry (The North Light Community Center),conditionsOfAccess,"""Must meet income guidelines."""
Food Pantry (St. Luke's Episcopal Church Germantown),latitude,40.0337844
Food Pantry (St. Luke's Episcopal Church Germantown),language,English
Food Pantry (St. Luke's Episcopal Church Germantown),cost,Free
Food Pantry (St. Luke's Episcopal Church Germantown),availability,TemporarilyClosed
Food Pantry (St. Luke's Episcopal Church Germantown),audience,AllAges
Food Pantry (St. Luke's Episcopal Church Germantown),category,FoodPantry
Food Pantry (St. Luke's Episcopal Church Germantown),audience,Individuals
Food Pantry (St. Luke's Episcopal Church Germantown),audience,AnyoneInNeed
Food Pantry (St. Luke's Episcopal Church Germantown),category,FoodPantry
Food Pantry (St. Luke's Episcopal Church Germantown),audience,Families
Food Pantry (St. Luke's Episcopal Church Germantown),service type,Food
Food Pantry (St. Luke's Episcopal Church Germantown),postalCode,"""19144"""
Food Pantry (St. Luke's Episcopal Church Germantown),url,"""https://www.facebook.com/St-Lukes-Church-Germantown-111657445537323/"""
Food Pantry (St. Luke's Episcopal Church Germantown),url,"""None"""
Food Pantry (St. Luke's Episcopal Church Germantown),identifier,"""Food Pantry (St. Luke's Episcopal Church Germantown)_5946530422849536"""
Food Pantry (St. Luke's Episcopal Church Germantown),name,""""""
Food Pantry (St. Luke's Episcopal Church Germantown),name,"""Food Pantry (St. Luke's Episcopal Church Germantown)"""
Food Pantry (St. Luke's Episcopal Church Germantown),hasMap,XMLSchema#anyUri
Food Pantry (St. Luke's Episcopal Church Germantown),areaServed,"""This program covers residents of the following cities: Philadelphia, PA."""
Food Pantry (St. Luke's Episcopal Church Germantown),provider,Food Pantry (St. Luke's Episcopal Church Germantown)
Food Pantry (St. Luke's Episcopal Church Germantown),address,"""5421 Germantown Avenue, Philadelphia, PA 19144"""
Food Pantry (St. Luke's Episcopal Church Germantown),longitude,XMLSchema#decimal
Food Pantry (St. Luke's Episcopal Church Germantown),availableChannel,AB-Food Pantry (St. Luke's Episcopal Church Germantown)
Food Pantry (St. Luke's Episcopal Church Germantown),availableChannel,P-Food Pantry (St. Luke's Episcopal Church Germantown)
Food Pantry (St. Luke's Episcopal Church Germantown),containedInPlace,19144
Food Pantry (St. Luke's Episcopal Church Germantown),description,Food Pantry (St. Luke's Episcopal Church Germantown)
Food Pantry (St. Luke's Episcopal Church Germantown),telephone,"""tel:+1-215-844-8544"""
Food Pantry (St. Luke's Episcopal Church Germantown),text,"""St. Barnabas Pantry provides bags of food to individuals and families in St. Luke's community who are in need.Services provided:- Take-away food bags"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Saturday Closed"
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Wednesday Closed"
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Thursday Closed"
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Sunday Closed"
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Wednesday from 09:00 to 15:00"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Monday from 09:00 to 15:00"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Thursday from 09:00 to 15:00"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Friday from 09:00 to 15:00"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Tuesday from 09:00 to 15:00"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Tuesday from 09:00 to 10:30"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Sunday from 08:00 to 14:00"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Friday from 09:00 to 10:30"""
Food Pantry (St. Luke's Episcopal Church Germantown),xmlschema11-2#time,"""Monday Closed"
Food Pantry (St. Luke's Episcopal Church Germantown),conditionsOfAccess,"""Anyone can access this program."""
Food Cupboard (The Church of St. Andrew and St. Monica),latitude,39.960617
Food Cupboard (The Church of St. Andrew and St. Monica),cost,Free
Food Cupboard (The Church of St. Andrew and St. Monica),availability,Available
Food Cupboard (The Church of St. Andrew and St. Monica),audience,AnyoneInNeed
Food Cupboard (The Church of St. Andrew and St. Monica),audience,Individuals
Food Cupboard (The Church of St. Andrew and St. Monica),category,FoodPantry
Food Cupboard (The Church of St. Andrew and St. Monica),language,English
Food Cupboard (The Church of St. Andrew and St. Monica),audience,AllAges
Food Cupboard (The Church of St. Andrew and St. Monica),category,FoodPantry
Food Cupboard (The Church of St. Andrew and St. Monica),audience,Families
Food Cupboard (The Church of St. Andrew and St. Monica),service type,Food
Food Cupboard (The Church of St. Andrew and St. Monica),postalCode,"""19104"""
Food Cupboard (The Church of St. Andrew and St. Monica),url,"""https://www.twitter.com/@ssAndrewMonica"""
Food Cupboard (The Church of St. Andrew and St. Monica),url,"""https://www.facebook.com/ssandrewmonica/?rf=117087431642346"""
Food Cupboard (The Church of St. Andrew and St. Monica),identifier,"""Food Cupboard (The Church of St. Andrew and St. Monica)_6520871286734848"""
Food Cupboard (The Church of St. Andrew and St. Monica),name,""""""
Food Cupboard (The Church of St. Andrew and St. Monica),name,"""Food Cupboard (The Church of St. Andrew and St. Monica)"""
Food Cupboard (The Church of St. Andrew and St. Monica),hasMap,XMLSchema#anyUri
Food Cupboard (The Church of St. Andrew and St. Monica),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Food Cupboard (The Church of St. Andrew and St. Monica),provider,Food Cupboard (The Church of St. Andrew and St. Monica)
Food Cupboard (The Church of St. Andrew and St. Monica),address,"""3600 Baring Street, Philadelphia, PA 19104"""
Food Cupboard (The Church of St. Andrew and St. Monica),longitude,XMLSchema#decimal
Food Cupboard (The Church of St. Andrew and St. Monica),availableChannel,AB-Food Cupboard (The Church of St. Andrew and St. Monica)
Food Cupboard (The Church of St. Andrew and St. Monica),availableChannel,P-Food Cupboard (The Church of St. Andrew and St. Monica)
Food Cupboard (The Church of St. Andrew and St. Monica),containedInPlace,19104
Food Cupboard (The Church of St. Andrew and St. Monica),description,Food Cupboard (The Church of St. Andrew and St. Monica)
Food Cupboard (The Church of St. Andrew and St. Monica),telephone,"""tel:+1-215-222-7606"""
Food Cupboard (The Church of St. Andrew and St. Monica),text,"""The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs"""
Food Cupboard (The Church of St. Andrew and St. Monica),xmlschema11-2#time,"""Saturday from 09:30 to 11:00"""
Food Cupboard (The Church of St. Andrew and St. Monica),xmlschema11-2#time,"""Thursday Closed"
Food Cupboard (The Church of St. Andrew and St. Monica),xmlschema11-2#time,"""Wednesday Closed"
Food Cupboard (The Church of St. Andrew and St. Monica),xmlschema11-2#time,"""Tuesday Closed"
Food Cupboard (The Church of St. Andrew and St. Monica),xmlschema11-2#time,"""Friday Closed"
Food Cupboard (The Church of St. Andrew and St. Monica),xmlschema11-2#time,"""Sunday Closed"
Food Cupboard (The Church of St. Andrew and St. Monica),xmlschema11-2#time,"""Monday Closed"
Food Cupboard (The Church of St. Andrew and St. Monica),conditionsOfAccess,"""Anyone can access this program."""
Food Pantry (Crusaders for Christ Church),latitude,39.9448797
Food Pantry (Crusaders for Christ Church),audience,Individuals
Food Pantry (Crusaders for Christ Church),cost,Free
Food Pantry (Crusaders for Christ Church),language,English
Food Pantry (Crusaders for Christ Church),availability,Available
Food Pantry (Crusaders for Christ Church),audience,AllAges
Food Pantry (Crusaders for Christ Church),category,FoodPantry
Food Pantry (Crusaders for Christ Church),category,FoodPantry
Food Pantry (Crusaders for Christ Church),audience,Families
Food Pantry (Crusaders for Christ Church),service type,Food
Food Pantry (Crusaders for Christ Church),postalCode,"""19143"""
Food Pantry (Crusaders for Christ Church),url,"""https://www.facebook.com/MyCFC1/"""
Food Pantry (Crusaders for Christ Church),url,"""https://www.twitter.com/@CFC_PA1"""
Food Pantry (Crusaders for Christ Church),identifier,"""Food Pantry (Crusaders for Christ Church)_5683489540931584"""
Food Pantry (Crusaders for Christ Church),name,""""""
Food Pantry (Crusaders for Christ Church),name,"""Food Pantry (Crusaders for Christ Church)"""
Food Pantry (Crusaders for Christ Church),hasMap,XMLSchema#anyUri
Food Pantry (Crusaders for Christ Church),areaServed,"""This program covers residents of the following cities: Philadelphia, PA."""
Food Pantry (Crusaders for Christ Church),provider,Food Pantry (Crusaders for Christ Church)
Food Pantry (Crusaders for Christ Church),address,"""1201 South 47th Street, Philadelphia, PA 19143"""
Food Pantry (Crusaders for Christ Church),longitude,XMLSchema#decimal
Food Pantry (Crusaders for Christ Church),availableChannel,AB-Food Pantry (Crusaders for Christ Church)
Food Pantry (Crusaders for Christ Church),availableChannel,P-Food Pantry (Crusaders for Christ Church)
Food Pantry (Crusaders for Christ Church),containedInPlace,19143
Food Pantry (Crusaders for Christ Church),description,Food Pantry (Crusaders for Christ Church)
Food Pantry (Crusaders for Christ Church),telephone,"""tel:+1-215-387-3014"""
Food Pantry (Crusaders for Christ Church),text,"""Crusaders for Christ Church provides supplemental groceries to individuals and families in need of assistance in our community. This program provides:- Food to meet basic nutritional needsPlease contact this provider to see when the pantry is available."""
Food Pantry (Crusaders for Christ Church),xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
Food Pantry (Crusaders for Christ Church),xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
Food Pantry (Crusaders for Christ Church),xmlschema11-2#time,"""Sunday Closed"
Food Pantry (Crusaders for Christ Church),xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
Food Pantry (Crusaders for Christ Church),xmlschema11-2#time,"""Saturday Closed"
Food Pantry (Crusaders for Christ Church),xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
Food Pantry (Crusaders for Christ Church),xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
Food Pantry (Crusaders for Christ Church),conditionsOfAccess,"""Anyone can access this program."""
Manna Pantry (Bethel Temple Community Bible Church),latitude,39.9978125
Manna Pantry (Bethel Temple Community Bible Church),category,FoodPantry
Manna Pantry (Bethel Temple Community Bible Church),language,English
Manna Pantry (Bethel Temple Community Bible Church),availability,Available
Manna Pantry (Bethel Temple Community Bible Church),category,FoodPantry
Manna Pantry (Bethel Temple Community Bible Church),audience,Individuals
Manna Pantry (Bethel Temple Community Bible Church),audience,AllAges
Manna Pantry (Bethel Temple Community Bible Church),audience,AnyoneInNeed
Manna Pantry (Bethel Temple Community Bible Church),cost,Free
Manna Pantry (Bethel Temple Community Bible Church),audience,Families
Manna Pantry (Bethel Temple Community Bible Church),service type,Food
Manna Pantry (Bethel Temple Community Bible Church),postalCode,"""19134"""
Manna Pantry (Bethel Temple Community Bible Church),url,"""None"""
Manna Pantry (Bethel Temple Community Bible Church),url,"""https://www.facebook.com/betheltemplecbc/"""
Manna Pantry (Bethel Temple Community Bible Church),identifier,"""Manna Pantry (Bethel Temple Community Bible Church)_6321681709400064"""
Manna Pantry (Bethel Temple Community Bible Church),name,""""""
Manna Pantry (Bethel Temple Community Bible Church),name,"""Manna Pantry (Bethel Temple Community Bible Church)"""
Manna Pantry (Bethel Temple Community Bible Church),hasMap,XMLSchema#anyUri
Manna Pantry (Bethel Temple Community Bible Church),areaServed,"""This program covers residents of the following cities: Philadelphia, PA."""
Manna Pantry (Bethel Temple Community Bible Church),provider,Manna Pantry (Bethel Temple Community Bible Church)
Manna Pantry (Bethel Temple Community Bible Church),address,"""228 East Allegheny Avenue, Philadelphia, PA 19134"""
Manna Pantry (Bethel Temple Community Bible Church),longitude,XMLSchema#decimal
Manna Pantry (Bethel Temple Community Bible Church),availableChannel,AB-Manna Pantry (Bethel Temple Community Bible Church)
Manna Pantry (Bethel Temple Community Bible Church),availableChannel,P-Manna Pantry (Bethel Temple Community Bible Church)
Manna Pantry (Bethel Temple Community Bible Church),containedInPlace,19134
Manna Pantry (Bethel Temple Community Bible Church),description,Manna Pantry (Bethel Temple Community Bible Church)
Manna Pantry (Bethel Temple Community Bible Church),telephone,"""tel:+1-215-423-0986"""
Manna Pantry (Bethel Temple Community Bible Church),text,"""Manna Pantry serves the community by providing food and resources for those in need. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs"""
Manna Pantry (Bethel Temple Community Bible Church),xmlschema11-2#time,"""Wednesday Closed"
Manna Pantry (Bethel Temple Community Bible Church),xmlschema11-2#time,"""Friday Closed"
