Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Jane Addams Place (Lutheran Settlement House),https://www.auntbertha.com//lutheran-settlement-house--philadelphia-pa--jane-addams-place/5730442313465856?postal=19114,"['temporary shelter', 'case management']","['health education', 'parenting education', 'medical care', 'mental health care', 'recreation', 'navigating the system', 'help find housing']","['all ages', 'female', 'families', 'with children', 'homeless', 'mothers']",215-387-2587,https://www.lutheransettlement.org/lsh-programs/housing-support/,"1007 West Lehigh Avenue,  Philadelphia, PA 19104","https://www.google.com/maps/?q=1007+West+Lehigh+Avenue,+Philadelphia,+PA+19104/",['Centralized Homeless Intake assessment of eligibility required.'],full,"Jane Addams Place clients are admitted through Centralized Homeless Intake Services operated by the Office of Supportive Housing at the Appletree Family Center at 1430 Cherry Street, 215-686-7150. You must go through central intake for an initial assessment of your housing needs before placement. If you are currently experiencing homelessness, please visit the intake center.",['English'],Free,Yes,https://www.facebook.com/pages/Lutheran-Settlement-House/152800584747421,https://www.twitter.com/@LSH1902,"This program covers residents of the following counties: Philadelphia County, PA.",39.9935476,-75.1482898,19133,Yes,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,3.9,Food
KITHS Kitchen and Garden (KITHS),https://www.auntbertha.com//kiths--philadelphia-pa--kiths-kitchen-and-garden/5480325573640192?postal=19134,"['emergency food', 'food pantry', 'nutrition education', 'navigating the system']","['emergency food', 'food pantry', 'nutrition education', 'navigating the system']","['all ages', 'immigrants', 'refugees', 'individuals', 'families', 'asian']",215-278-6222,https://www.kithservices.org/kiths-kitchen-and-garden,"4923 Old York Road, Philadelphia, PA 19141","https://www.google.com/maps/?q=4923+Old+York+Road,+Philadelphia,+PA+19141/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"KITHS Kitchen provides a culturally affirming stock pantry, supplied with food items reflective of what Cambodian refugees and Southeast Asians normally consume, such as canned baby corn, rice, seafood-based staples that are reminiscent of cuisines from their native countries (e.g., fish sauce, oyster sauce, etc.).This program provides:- Food distribution- Nutrition education- Information about food access opportunities- Emergency pantryKITHS cannot guarantee services without an appointment. Please call for more information.",['English'],Free,Yes,https://www.facebook.com/kithsnonprofit/,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0280863,-75.1461026,19141,No,Closed,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,6:30PM - 8:00PM,12:00PM - 6:00PM,Closed,5,Food
Food Distribution (Kingdom Life Christian Center),https://www.auntbertha.com//kingdom-life-christian-center--philadelphia-pa--food-distribution/6213025361821696?postal=19134,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",267-343-5183,https://kingdomlifechristiancenter.snappages.site/20-years-of-harvest,"6325 Frankford Avenue, Philadelphia, PA 19135","https://www.google.com/maps/?q=6325+Frankford+Avenue,+Philadelphia,+PA+19135/",['Anyone can access this program.'],available,"Kingdom Life Christian Center provides food assistance to anyone in the community. We also provide diapers and formula, available while supplies last.This program provides:- Food to meet basic nutritional requirements Check website to see when the food distribution is offered as the times and dates are subject to change.",['English'],Free,Yes,https://www.facebook.com/Kingdom-Life-Christian-Center-NE-148467495247846/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0277668,-75.0588362,19149,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.9,Food
Food Assistance and Relief (Jewish Relief Agency),https://www.auntbertha.com//jewish-relief-agency--philadelphia-pa--food-assistance-and-relief/4873770804707328?postal=19135,"['emergency food', 'food delivery', 'baby supplies', 'personal care items']","['emergency food', 'food delivery', 'baby supplies', 'personal care items']","['all ages', 'all disabilities', 'individuals', 'families', 'low-income', 'emergency']",610-660-0190,https://jewishrelief.org/request-services,"10980 Dutton Road, Philadelphia, PA 19154","https://www.google.com/maps/?q=10980+Dutton+Road,+Philadelphia,+PA+19154/",['This program helps people with income at or below 150% of federal poverty guidelines.\nMust live in one of the zip codes we service.'],available,"JRA delivers a 15 lbs. box of food monthly via a no-contact drop-off. This program provides:- A monthly supplemental box of kosher pantry staples and fresh produce (from October to April) delivered directly to your door by one of our friendly volunteers. (Knock, Drop, and Go). - A supplemental bag of kid-friendly food items for families with children ages 18 and under. - Donated household items, toiletries, kids' apparel (through a partnership with Cradles to Crayons) diapers and adult incontinence supplies (through a partnership with The Greater Philadelphia Diaper Bank).Some exceptions may apply. For questions, information, or to request services please contact us at (610) 660-0190 or gethelp@jewishrelief.org.","['English', 'Hebrew', 'Russian', 'Spanish']",Free,Yes,https://www.facebook.com/JewishReliefAgency/,https://www.twitter.com/@Jewish_Relief,"This program covers residents of the following postal codes: 18940, 18954, 18966, 18974, 19001, 19002, 19003, 19004, 19006, 19007, 19008, 19010, 19012, 19016, 19018, 19020, 19026, 19027, 19030, 19038, 19040, 19041, 19044, 19046, 19047, 19050, 19053, 19054, 19056, 19057, 19063, 19064, 19066, 19067, 19072, 19082, 19083, 19085, 19087, 19090, 19096, 19102, 19103, 19104, 19107, 19109, 19111, 19114, 19115, 19116, 19118, 19119, 19120, 19123, 19124, 19125, 19126, 19128, 19129, 19130, 19131, 19135, 19136, 19137, 19138, 19143, 19144, 19146, 19147, 19148, 19149, 19150, 19151, 19152, 19154, 19401, 19403, 19406, 19422, 19428, 19438, 19454, 19460 and 19462.",40.0913701,-74.9877659,19154,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.7,Food
Our Closet in Your Neighborhood (Jewish Family and Children's Service of Greater Philadelphia),https://www.auntbertha.com//jewish-family-and-children%2527s-service-of-greater-philadelphia-%2528jfcs%2529--philadelphia-pa--our-closet-in-your-neighborhood-%2528ociyn%2529/5062487914577920?postal=19134,"['emergency food', 'food pantry', 'help find housing', 'housing advice', 'clothing', 'navigating the system']","['emergency food', 'food pantry', 'help find housing', 'housing advice', 'clothing', 'navigating the system']","['anyone in need', 'all ages', 'individuals', 'families']",267-256-2179,https://jfcsphilly.org/our-closet-in-your-neighborhood/,"601 East Indiana Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=601+East+Indiana+Avenue,+Philadelphia,+PA+19134/",['Anyone can access this program.'],available,"Our Closet In Your Neighborhood (OCIYN) is a free mobile program that provides basic necessities of food and clothing, as well as access to services and benefits, to families and individuals in need. The bus visits host sites in under-resourced neighborhoods and central locations with fresh, healthy produce and pantry staples, a mini pop-up clothing shop, and an onsite social worker. 

This program provides: 

- Food
- Clothing
- Navigation services

Visitors receive fresh, locally-sourced produce and pantry staples and are welcome to shop for 10 free, quality items of clothing, shoes, and accessories per person (with a limit of 25 total per family to allow for all to receive what they need). A JFCS social worker is present at every OCIYN event to connect those in need to additional services and benefits for which they may be eligible.

OCIYN also provides customized packages of emergency clothing delivered straight to those in need, as well as food package delivery to homebound clients. 

To learn more about these services or upcoming pop-up events, contact 267-256-2179 or [email_protected].",['English'],Free,Yes,https://www.facebook.com/OurClosetIYN/,https://www.twitter.com/@OurClosetIYN,"This program covers residents of the following cities: Philadelphia, PA.",39.9948061,-75.1189178,19134,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,3,Food
Social Services -Basic Needs Assistance (Helping Hands Ministry Inc),https://www.auntbertha.com//helping-hands-ministry%252C-inc.--philadelphia-pa--social-services---basic-needs-assistance/6453846037626880?postal=19135,"['emergency food', 'home goods', 'personal care items', 'toys & gifts']","['emergency food', 'home goods', 'personal care items', 'toys & gifts']","['seniors', 'individuals', 'families', 'low-income', 'in crisis']",267-595-9000,https://www.helpinghandsministryinc.com/how-can-we-serve-you,"5926 Webster Street, Philadelphia, PA 19143","https://www.google.com/maps/?q=5926+Webster+Street,+Philadelphia,+PA+19143/",['This program helps people who are older than 59 years old.'],available,"Helping Hands Ministry, Inc. assists with basic needs for seniors aged sixty or older through their Social Services offering.This program provides:- Personal care items- Non-essential household items- Holiday/birthday gift bags- Emergency foodSeniors in need of these Social Services from Helping Hands Ministry, Inc. can reach out via their online contact form to request assistance.",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9498348,-75.2421164,19143,No,8:30AM - 3:30PM,8:30AM - 3:30PM,8:30AM - 3:30PM,8:30AM - 3:30PM,8:30AM - 3:30PM,Closed,Closed,5,Food
Food Pantry (Episcopal Community Services),https://www.auntbertha.com//episcopal-community-services-%2528ecs%2529--philadelphia-pa--food-pantry/5643194546257920?postal=19125,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",215-528-5400,https://www.ecsphilly.org/st-barnabas/,"6006 West Girard Avenue, Philadelphia, PA 19151","https://www.google.com/maps/?q=6006+West+Girard+Avenue,+Philadelphia,+PA+19151/",['Must reside in the Carroll Park West Philadelphia neighborhood.'],available,"Episcopal Community Services (ECS) offers a open choice food pantry to families and individuals who simply have fallen on hard times or recently unemployed and need assistance to make ends meet. Families receive bags of dry, canned, and jarred goods.This program provides:- Food to meet basic nutritional needsBecause supplies are limited, families can utilize the cupboard only once per month.",['English'],Free,Yes,https://www.facebook.com/ECSPhilly/,https://www.twitter.com/@ECSPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9696013,-75.23993,19151,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.8,Food
Food Pantry (East Park Revitalization Alliance),https://www.auntbertha.com//east-park-revitalization-alliance--philadelphia-pa--food-pantry/5711255900520448?postal=19134,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages']",215-235-6001,https://epralliance.org/about-us/programs/food-pantry/,"1737 North 31st Street, Philadelphia, PA 19121","https://www.google.com/maps/?q=1737+North+31st+Street,+Philadelphia,+PA+19121/",['Anyone can access this program.'],available,"East Park Revitalization Alliance's food cupboard serves everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of assistance. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsClients are welcome to come once every week. For example if you come on Monday, you can only return the next Monday or after.",['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9831003,-75.1847568,19121,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.1,Food
Youth Services (Covenant House Pennsylvania),https://www.auntbertha.com//covenant-house-pennsylvania-%2528chp%2529--philadelphia-pa--youth-services/4909220273061888?postal=19114,"['temporary shelter', 'residential housing', 'short-term housing']","['meals', 'medical care', 'counseling', 'financial education', 'navigating the system', 'case management', 'one-on-one support', 'spiritual support', 'advocacy & legal aid']","['young adults', 'teens', 'children', 'homeless', 'runaways', 'human trafficking survivors', 'in crisis', 'lgbtqia+']",888-829-1249,https://www.covenanthousepa.org/our-impact/our-programs,"31 East Armat St., Philadelphia, PA 19144","https://www.google.com/maps/?q=31+East+Armat+St.+,+Philadelphia,+PA+19144/",['This program helps people who are younger than 21 years old'],available,"Covenant House Pennsylvania offers shelter and supportive services to young people experiencing homelessness. They aim to help homeless young people become healthy, happy, responsible, productive, and ultimately independent adults.This program provides:- A safe, secure environment- Immediate and transitional housing- Rapid rehousing- Meals and food- Case Management- Spiritual Support- Counseling- Physical health, mental health, and drug and alcohol services- Saving and budgeting- Continuing education- Support for LGBTQ individuals- Job readinessThe Crisis Center is open 24 hours per day, seven days per week. There are no shelter fees; however, those staying at the shelter must deposit 75% of their income during their stay. All money is returned upon leaving the shelter. Covenant House is a drug and weapon-free program.",['English'],Free,Yes,https://www.facebook.com/CovenantHousePA,https://www.twitter.com/@CovenantHousePA,"This program covers residents of the following counties: Philadelphia County, PA.",40.0356379,-75.1733708,19144,Yes,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,3.8,Food
Food Pantry (Community of Compassion CDC),https://www.auntbertha.com//community-of-compassion-cdc--philadelphia-pa--food-pantry/6260879273361408?postal=19125,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",267-767-1216,https://www.communityofcompassioncdc.com/,"6150 Cedar Avenue, Philadelphia, PA 19143","https://www.google.com/maps/?q=6150+Cedar+Avenue,+Philadelphia,+PA+19143/",['Anyone can access this program.'],available,The Community of Compassion CDC Food Pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/communityofcompassioncdc,https://twitter.com/community_cdc,"This program covers residents of the following cities: Philadelphia, PA.",39.9526461,-75.2465832,19143,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.5,Food
