subject,relation,object
Kailo Haven (Resources for Human Development - Pennsylvania),category,PersonalHygiene
Kailo Haven (Resources for Human Development - Pennsylvania),category,Meals
Kailo Haven (Resources for Human Development - Pennsylvania),audience,Adults18
Kailo Haven (Resources for Human Development - Pennsylvania),category,12Step
Kailo Haven (Resources for Human Development - Pennsylvania),category,NavigatingTheSystem
Kailo Haven (Resources for Human Development - Pennsylvania),cost,Free
Kailo Haven (Resources for Human Development - Pennsylvania),category,TemporaryShelter
Kailo Haven (Resources for Human Development - Pennsylvania),availability,Available
Kailo Haven (Resources for Human Development - Pennsylvania),category,ShortTermHousing
Kailo Haven (Resources for Human Development - Pennsylvania),language,English
Kailo Haven (Resources for Human Development - Pennsylvania),category,OneOnOneSupport
Kailo Haven (Resources for Human Development - Pennsylvania),audience,DualDiagnosis
Kailo Haven (Resources for Human Development - Pennsylvania),audience,SubstanceDependency
Kailo Haven (Resources for Human Development - Pennsylvania),service type,Shelter
Kailo Haven (Resources for Human Development - Pennsylvania),postalCode,"""19140"""
Kailo Haven (Resources for Human Development - Pennsylvania),url,"""None"""
Kailo Haven (Resources for Human Development - Pennsylvania),url,"""https://www.facebook.com/kailohaven/"""
Kailo Haven (Resources for Human Development - Pennsylvania),identifier,"""Kailo Haven (Resources for Human Development - Pennsylvania)_5552002522939392"""
Kailo Haven (Resources for Human Development - Pennsylvania),name,"""Kailo Haven (Resources for Human Development - Pennsylvania)"""
Kailo Haven (Resources for Human Development - Pennsylvania),name,""""""
Kailo Haven (Resources for Human Development - Pennsylvania),hasMap,XMLSchema#anyUri
Kailo Haven (Resources for Human Development - Pennsylvania),areaServed,"""This program covers residents of the following cities: Philadelphia, PA."""
Kailo Haven (Resources for Human Development - Pennsylvania),provider,Kailo Haven (Resources for Human Development - Pennsylvania)
Kailo Haven (Resources for Human Development - Pennsylvania),address,"""2107 West Tioga Street, Philadelphia, PA 19140"""
Kailo Haven (Resources for Human Development - Pennsylvania),longitude,XMLSchema#decimal
Kailo Haven (Resources for Human Development - Pennsylvania),availableChannel,AB-Kailo Haven (Resources for Human Development - Pennsylvania)
Kailo Haven (Resources for Human Development - Pennsylvania),availableChannel,P-Kailo Haven (Resources for Human Development - Pennsylvania)
Kailo Haven (Resources for Human Development - Pennsylvania),containedInPlace,19140
Kailo Haven (Resources for Human Development - Pennsylvania),description,Kailo Haven (Resources for Human Development - Pennsylvania)
Kailo Haven (Resources for Human Development - Pennsylvania),telephone,"""tel:+1-215-225-8645"""
Kailo Haven (Resources for Human Development - Pennsylvania),text,"""Resources for Human Development's Kailo Haven is a safe haven homeless shelter for individuals experiencing chronic homelessness and identified as suffering from some form of co-occuring disorders, including mental health and addiction challenges.This program provides:- Safe environment to live and sleep- Meals and snacks- Bathroom and laundry facilities- 12-step recovering meetings- Emotional Management Courses- Individualized meetings and support to obtain financial and medical benefits- Referral ServicesPlease call The Homeless Outreach Hotline at 215-225-8645."""
Kailo Haven (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
Kailo Haven (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
Kailo Haven (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
Kailo Haven (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Sunday Closed"
Kailo Haven (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
Kailo Haven (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Saturday Closed"
Kailo Haven (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
Kailo Haven (Resources for Human Development - Pennsylvania),conditionsOfAccess,"""This program serves homeless people."""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),latitude,40.0311934
RHD Fernwood Program (Resources for Human Development - Pennsylvania),audience,AllAges
RHD Fernwood Program (Resources for Human Development - Pennsylvania),availability,Available
RHD Fernwood Program (Resources for Human Development - Pennsylvania),cost,Free
RHD Fernwood Program (Resources for Human Development - Pennsylvania),language,English
RHD Fernwood Program (Resources for Human Development - Pennsylvania),audience,Individuals
RHD Fernwood Program (Resources for Human Development - Pennsylvania),category,NavigatingTheSystem
RHD Fernwood Program (Resources for Human Development - Pennsylvania),audience,Male
RHD Fernwood Program (Resources for Human Development - Pennsylvania),category,TemporaryShelter
RHD Fernwood Program (Resources for Human Development - Pennsylvania),audience,Homeless
RHD Fernwood Program (Resources for Human Development - Pennsylvania),service type,Shelter
RHD Fernwood Program (Resources for Human Development - Pennsylvania),postalCode,"""19136"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),url,"""https://www.twitter.com/@Resources4HD"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),url,"""https://www.facebook.com/ResourcesHD/timeline/"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),identifier,"""RHD Fernwood Program (Resources for Human Development - Pennsylvania)_4670495380209664"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),name,"""RHD Fernwood Program (Resources for Human Development - Pennsylvania)"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),name,""""""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),hasMap,XMLSchema#anyUri
RHD Fernwood Program (Resources for Human Development - Pennsylvania),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),provider,RHD Fernwood Program (Resources for Human Development - Pennsylvania)
RHD Fernwood Program (Resources for Human Development - Pennsylvania),address,"""2100 West Girard Avenue, Philadelphia, PA 19130"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),longitude,XMLSchema#decimal
RHD Fernwood Program (Resources for Human Development - Pennsylvania),availableChannel,AB-RHD Fernwood Program (Resources for Human Development - Pennsylvania)
RHD Fernwood Program (Resources for Human Development - Pennsylvania),availableChannel,P-RHD Fernwood Program (Resources for Human Development - Pennsylvania)
RHD Fernwood Program (Resources for Human Development - Pennsylvania),containedInPlace,19136
RHD Fernwood Program (Resources for Human Development - Pennsylvania),description,RHD Fernwood Program (Resources for Human Development - Pennsylvania)
RHD Fernwood Program (Resources for Human Development - Pennsylvania),telephone,"""tel:+1-267-797-2500"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),text,"""RHD Fernwood provides emergency housing for single men in Philadelphia referred by Philadelphiaâ€™s Office of Homeless Services. Assessments focus on the immediate needs of the individual. Linkages with community services enable individuals to address primary social service and housing needs.This program provides:- Emergency housing"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
RHD Fernwood Program (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Saturday Closed"
RHD Fernwood Program (Resources for Human Development - Pennsylvania),xmlschema11-2#time,"""Sunday Closed"
RHD Fernwood Program (Resources for Human Development - Pennsylvania),conditionsOfAccess,"""This program serves single males."""
Overnight Services (Horizon House),latitude,39.962058
Overnight Services (Horizon House),cost,ReducedCost
Overnight Services (Horizon House),language,English
Overnight Services (Horizon House),category,OneOnOneSupport
Overnight Services (Horizon House),audience,Adults18
Overnight Services (Horizon House),category,TemporaryShelter
Overnight Services (Horizon House),availability,Available
Overnight Services (Horizon House),category,MentalHealthEvaluation
Overnight Services (Horizon House),audience,Homeless
Overnight Services (Horizon House),category,PersonalHygiene
Overnight Services (Horizon House),category,Meals
Overnight Services (Horizon House),service type,Shelter
Overnight Services (Horizon House),postalCode,"""19136"""
Overnight Services (Horizon House),url,"""https://www.facebook.com/horizonhouseinc/?fref=ts"""
Overnight Services (Horizon House),identifier,"""Overnight Services (Horizon House)_6301124945248256"""
Overnight Services (Horizon House),name,"""Overnight Services (Horizon House)"""
Overnight Services (Horizon House),name,""""""
Overnight Services (Horizon House),hasMap,XMLSchema#anyUri
Overnight Services (Horizon House),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Overnight Services (Horizon House),provider,Overnight Services (Horizon House)
Overnight Services (Horizon House),address,"""5901 Market Street, Philadelphia, PA 19136"""
Overnight Services (Horizon House),longitude,XMLSchema#decimal
Overnight Services (Horizon House),longitude,XMLSchema#decimal
Overnight Services (Horizon House),availableChannel,AB-Overnight Services (Horizon House)
Overnight Services (Horizon House),availableChannel,P-Overnight Services (Horizon House)
Overnight Services (Horizon House),containedInPlace,19136
Overnight Services (Horizon House),description,Overnight Services (Horizon House)
Overnight Services (Horizon House),telephone,"""tel:+1-215-386-3838"""
Overnight Services (Horizon House),text,"""The Horizon House Navigation Center in West Philadelphia offers a variety of support services to homeless adults all year round. Here, people have a safe haven to meet their basic needs. The center is open 7 p.m. to 6 a.m. and is available on a drop-in basis.  Services include:- Temporary shelter- Food- Shower- Clean clothing- Laundry facilities- Medical and psychiatric assessments- Case managementExtended daytime hours are available two days/week for medical and psychiatric assessments and referral services. Case management services are offered to link individuals with appropriate housing, benefits, medical care and treatment services.For more information, please call at 215-386-3838, ext. 12603"""
Overnight Services (Horizon House),xmlschema11-2#time,"""Saturday from 07:00 to 18:00"""
Overnight Services (Horizon House),xmlschema11-2#time,"""Thursday from 07:00 to 18:00"""
Overnight Services (Horizon House),xmlschema11-2#time,"""Monday from 07:00 to 18:00"""
Overnight Services (Horizon House),xmlschema11-2#time,"""Tuesday from 07:00 to 18:00"""
Overnight Services (Horizon House),xmlschema11-2#time,"""Wednesday from 07:00 to 18:00"""
Overnight Services (Horizon House),xmlschema11-2#time,"""Sunday from 07:00 to 18:00"""
Overnight Services (Horizon House),xmlschema11-2#time,"""Friday from 07:00 to 18:00"""
Overnight Services (Horizon House),conditionsOfAccess,"""This program serves homeless individuals."""
Emergency Shelter (Families Forward),latitude,39.9617037
Emergency Shelter (Families Forward),category,DailyLifeSkills
Emergency Shelter (Families Forward),audience,AllAges
Emergency Shelter (Families Forward),availability,Available
Emergency Shelter (Families Forward),category,SkillsAndTraining
Emergency Shelter (Families Forward),category,ParentingEducation
Emergency Shelter (Families Forward),audience,Individuals
Emergency Shelter (Families Forward),category,NavigatingTheSystem
Emergency Shelter (Families Forward),audience,Families
Emergency Shelter (Families Forward),category,FinancialEducation
Emergency Shelter (Families Forward),cost,Free
Emergency Shelter (Families Forward),audience,Homeless
Emergency Shelter (Families Forward),category,ComputerClass
Emergency Shelter (Families Forward),language,English
Emergency Shelter (Families Forward),category,TemporaryShelter
Emergency Shelter (Families Forward),service type,Shelter
Emergency Shelter (Families Forward),postalCode,"""19139"""
Emergency Shelter (Families Forward),url,"""https://www.facebook.com/FFPhiladelphia/"""
Emergency Shelter (Families Forward),url,"""None"""
Emergency Shelter (Families Forward),identifier,"""Emergency Shelter (Families Forward)_6206753615380480"""
Emergency Shelter (Families Forward),name,"""Emergency Shelter (Families Forward)"""
Emergency Shelter (Families Forward),name,""""""
Emergency Shelter (Families Forward),hasMap,XMLSchema#anyUri
Emergency Shelter (Families Forward),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Emergency Shelter (Families Forward),provider,Emergency Shelter (Families Forward)
Emergency Shelter (Families Forward),address,"""111 North 49th Street, Philadelphia, PA 19139"""
Emergency Shelter (Families Forward),longitude,XMLSchema#decimal
Emergency Shelter (Families Forward),longitude,XMLSchema#decimal
Emergency Shelter (Families Forward),availableChannel,AB-Emergency Shelter (Families Forward)
Emergency Shelter (Families Forward),availableChannel,P-Emergency Shelter (Families Forward)
Emergency Shelter (Families Forward),containedInPlace,19139
Emergency Shelter (Families Forward),description,Emergency Shelter (Families Forward)
Emergency Shelter (Families Forward),telephone,"""tel:+1-215-240-4800"""
Emergency Shelter (Families Forward),text,"""Families Forward Philadelphia offers an emergency family shelter, for families in need, that has 65 individual rooms. While obtaining housing is their top priority, they also encourage saving money â€“ working with families to dedicate funds to rent, furnishings and day-to-day living expenses once they leave the shelter.This program provides:- A warm, safe environment- Nutritious meals- Case managementAdditionally throughout the day, workshops are available to prepare families for independent living, including parenting classes, life skills development, computer classes, money management classes, and much more."""
Emergency Shelter (Families Forward),xmlschema11-2#time,"""Tuesday from 00:00 to 23:59"""
Emergency Shelter (Families Forward),xmlschema11-2#time,"""Friday from 00:00 to 23:59"""
Emergency Shelter (Families Forward),xmlschema11-2#time,"""Thursday from 00:00 to 23:59"""
Emergency Shelter (Families Forward),xmlschema11-2#time,"""Monday from 00:00 to 23:59"""
Emergency Shelter (Families Forward),xmlschema11-2#time,"""Saturday from 00:00 to 23:59"""
Emergency Shelter (Families Forward),xmlschema11-2#time,"""Sunday from 00:00 to 23:59"""
Emergency Shelter (Families Forward),xmlschema11-2#time,"""Wednesday from 00:00 to 23:59"""
Emergency Shelter (Families Forward),conditionsOfAccess,"""All families must be referred to us through the City of Philadelphias Office of Supportive Housing central intake."""
Financial Assistance for Military Families (American Red Cross),latitude,39.9025613
Financial Assistance for Military Families (American Red Cross),category,FinancialAssistance
Financial Assistance for Military Families (American Red Cross),language,English
Financial Assistance for Military Families (American Red Cross),audience,Veterans
Financial Assistance for Military Families (American Red Cross),audience,Spouses
Financial Assistance for Military Families (American Red Cross),audience,NationalGuard
Financial Assistance for Military Families (American Red Cross),availability,Available
Financial Assistance for Military Families (American Red Cross),category,EmergencyFood
Financial Assistance for Military Families (American Red Cross),category,TemporaryShelter
Financial Assistance for Military Families (American Red Cross),audience,Emergency
Financial Assistance for Military Families (American Red Cross),audience,Adults18
Financial Assistance for Military Families (American Red Cross),category,EmergencyPayments
Financial Assistance for Military Families (American Red Cross),cost,Free
Financial Assistance for Military Families (American Red Cross),audience,ActiveDuty
Financial Assistance for Military Families (American Red Cross),audience,Families
Financial Assistance for Military Families (American Red Cross),category,BurialAndFuneralHelp
Financial Assistance for Military Families (American Red Cross),service type,Shelter
Financial Assistance for Military Families (American Red Cross),postalCode,"""19079"""
Financial Assistance for Military Families (American Red Cross),url,"""https://www.facebook.com/redcross"""
Financial Assistance for Military Families (American Red Cross),url,"""https://www.twitter.com/@redcross"""
Financial Assistance for Military Families (American Red Cross),identifier,"""Financial Assistance for Military Families (American Red Cross)_5931501920976896"""
Financial Assistance for Military Families (American Red Cross),name,""""""
Financial Assistance for Military Families (American Red Cross),name,"""Financial Assistance for Military Families (American Red Cross)"""
Financial Assistance for Military Families (American Red Cross),areaServed,"""This program covers residents of the following states: AK, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY."""
Financial Assistance for Military Families (American Red Cross),provider,Financial Assistance for Military Families (American Red Cross)
Financial Assistance for Military Families (American Red Cross),address,"""601 Clifton Ave, Sharon Hill, PA 19079"""
Financial Assistance for Military Families (American Red Cross),longitude,XMLSchema#decimal
Financial Assistance for Military Families (American Red Cross),availableChannel,AB-Financial Assistance for Military Families (American Red Cross)
Financial Assistance for Military Families (American Red Cross),availableChannel,P-Financial Assistance for Military Families (American Red Cross)
Financial Assistance for Military Families (American Red Cross),containedInPlace,19079
Financial Assistance for Military Families (American Red Cross),description,Financial Assistance for Military Families (American Red Cross)
Financial Assistance for Military Families (American Red Cross),telephone,"""tel:+1-877-272-7337"""
Financial Assistance for Military Families (American Red Cross),text,"""The American Red Cross works in partnership with military aid societies to provide quality, reliable financial assistance to eligible applicants 24/7/365 in times of hardship.This program provides: - Financial assistance for emergency needsAssistance can include funds for emergency travel, burial of a loved one, emergency food and shelter, etc. Red Cross helps to facilitate the application process, the military aid society determines eligibility and the specific financial assistance package that is offered.You can submit a request online or call the American Red Cross Hero Care Center.  When calliing, be sure to have the following information ready to provide the representative:- Legal name- Rank or rating- Social Security number- Date of birth- Branch of service (Army, Navy, Air Force, Marines, Coast Guard)- Military unit address- Information about the deployed unit and home base unit (for deployed service members only)"""
Financial Assistance for Military Families (American Red Cross),xmlschema11-2#time,"""Sunday from 00:00 to 23:59"""
Financial Assistance for Military Families (American Red Cross),xmlschema11-2#time,"""Wednesday from 00:00 to 23:59"""
Financial Assistance for Military Families (American Red Cross),xmlschema11-2#time,"""Friday from 00:00 to 23:59"""
Financial Assistance for Military Families (American Red Cross),xmlschema11-2#time,"""Saturday from 00:00 to 23:59"""
Financial Assistance for Military Families (American Red Cross),xmlschema11-2#time,"""Monday from 00:00 to 23:59"""
Financial Assistance for Military Families (American Red Cross),xmlschema11-2#time,"""Tuesday from 00:00 to 23:59"""
Financial Assistance for Military Families (American Red Cross),xmlschema11-2#time,"""Thursday from 00:00 to 23:59"""
Financial Assistance for Military Families (American Red Cross),conditionsOfAccess,"""Eligible for financial assistance if you are: An active duty service member OR', 'A member of an activated National Guard or Reserve unit OR', 'An immediate family member of a service member in the above two categories OR', 'A military retiree or spouse/widow(er) of a retiree."""
Emergency Safe Havens (Women Against Abuse),latitude,39.9503348
Emergency Safe Havens (Women Against Abuse),category,Childcare
Emergency Safe Havens (Women Against Abuse),category,ShortTermHousing
Emergency Safe Havens (Women Against Abuse),language,English
Emergency Safe Havens (Women Against Abuse),category,NavigatingTheSystem
Emergency Safe Havens (Women Against Abuse),availability,Available
Emergency Safe Havens (Women Against Abuse),category,ImmediateSafety
Emergency Safe Havens (Women Against Abuse),category,Meals
Emergency Safe Havens (Women Against Abuse),audience,AbuseOrNeglectSurvivors
Emergency Safe Havens (Women Against Abuse),category,InterviewTraining
Emergency Safe Havens (Women Against Abuse),audience,AllAges
Emergency Safe Havens (Women Against Abuse),audience,Lgbtqia
Emergency Safe Havens (Women Against Abuse),audience,TransgenderOrNonBinary
Emergency Safe Havens (Women Against Abuse),cost,Free
Emergency Safe Havens (Women Against Abuse),audience,Female
Emergency Safe Havens (Women Against Abuse),audience,DomesticViolenceSurvivors
Emergency Safe Havens (Women Against Abuse),category,OneOnOneSupport
Emergency Safe Havens (Women Against Abuse),audience,Male
Emergency Safe Havens (Women Against Abuse),category,GroupTherapy
Emergency Safe Havens (Women Against Abuse),category,TemporaryShelter
Emergency Safe Havens (Women Against Abuse),category,AfterSchoolCare
Emergency Safe Havens (Women Against Abuse),category,ResumeDevelopment
Emergency Safe Havens (Women Against Abuse),category,IndividualCounseling
Emergency Safe Havens (Women Against Abuse),category,SafeHousing
Emergency Safe Havens (Women Against Abuse),category,MoreEducation
Emergency Safe Havens (Women Against Abuse),audience,Emergency
Emergency Safe Havens (Women Against Abuse),service type,Shelter
Emergency Safe Havens (Women Against Abuse),postalCode,"""19110"""
Emergency Safe Havens (Women Against Abuse),url,"""https://www.facebook.com/womenagainstabuse"""
Emergency Safe Havens (Women Against Abuse),url,"""https://www.twitter.com/@WomenAgnstAbuse"""
Emergency Safe Havens (Women Against Abuse),identifier,"""Emergency Safe Havens (Women Against Abuse)_5652293370249216"""
Emergency Safe Havens (Women Against Abuse),name,""""""
Emergency Safe Havens (Women Against Abuse),name,"""Emergency Safe Havens (Women Against Abuse)"""
Emergency Safe Havens (Women Against Abuse),hasMap,XMLSchema#anyUri
Emergency Safe Havens (Women Against Abuse),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Emergency Safe Havens (Women Against Abuse),provider,Emergency Safe Havens (Women Against Abuse)
Emergency Safe Havens (Women Against Abuse),address,"""100 South Broad Street, Suite 1341, Philadelphia, PA 19102"""
Emergency Safe Havens (Women Against Abuse),longitude,XMLSchema#decimal
Emergency Safe Havens (Women Against Abuse),availableChannel,AB-Emergency Safe Havens (Women Against Abuse)
Emergency Safe Havens (Women Against Abuse),availableChannel,P-Emergency Safe Havens (Women Against Abuse)
Emergency Safe Havens (Women Against Abuse),containedInPlace,19110
Emergency Safe Havens (Women Against Abuse),description,Emergency Safe Havens (Women Against Abuse)
Emergency Safe Havens (Women Against Abuse),telephone,"""tel:+1-866-723-3014"""
