[12Step; inCodeSet; _CategoryCodeSet_Services_Main]
[OutpatientTreatment; inCodeSet; _CategoryCodeSet_Services_Main]
[ParentingEducation; inCodeSet; _CategoryCodeSet_Services_Main]
[PeerRecoveryCoaching; inCodeSet; _CategoryCodeSet_Services_Main]
[PeerSupport; inCodeSet; _CategoryCodeSet_Services_Main]
[PersonalCareItems; inCodeSet; _CategoryCodeSet_Services_Main]
[PersonalHygiene; inCodeSet; _CategoryCodeSet_Services_Main]
[PrescriptionAssistance; inCodeSet; _CategoryCodeSet_Services_Main]
[PreventAndTreat; inCodeSet; _CategoryCodeSet_Services_Main]
[PsychiatricEmergencyServices; inCodeSet; _CategoryCodeSet_Services_Main]
[Recreation; inCodeSet; _CategoryCodeSet_Services_Main]
[ResidentialCare; inCodeSet; _CategoryCodeSet_Services_Main]
[ResidentialHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[ResidentialTreatment; inCodeSet; _CategoryCodeSet_Services_Main]
[SafeHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[ShortTermHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[SkilledNursing; inCodeSet; _CategoryCodeSet_Services_Main]
[SkillsAndTraining; inCodeSet; _CategoryCodeSet_Services_Main]
[SoberLiving; inCodeSet; _CategoryCodeSet_Services_Main]
[SpecializedTherapy; inCodeSet; _CategoryCodeSet_Services_Main]
[SpiritualSupport; inCodeSet; _CategoryCodeSet_Services_Main]
[SubstanceAbuse; inCodeSet; _CategoryCodeSet_Services_Main]
[SubstanceAbuseCounseling; inCodeSet; _CategoryCodeSet_Services_Main]
[SupportGroups; inCodeSet; _CategoryCodeSet_Services_Main]
[SupportNetwork; inCodeSet; _CategoryCodeSet_Services_Main]
[TemporaryShelter; inCodeSet; _CategoryCodeSet_Services_Main]
[ToysAndGifts; inCodeSet; _CategoryCodeSet_Services_Main]
[Treatment; inCodeSet; _CategoryCodeSet_Services_Main]
[UnderstandMentalHealth; inCodeSet; _CategoryCodeSet_Services_Main]
[VirtualSupport; inCodeSet; _CategoryCodeSet_Services_Main]
[WeatherRelief; inCodeSet; _CategoryCodeSet_Services_Main]
[12Step; inCodeSet; _CategoryCodeSet_Services_Other]
[AddictionAndRecovery; inCodeSet; _CategoryCodeSet_Services_Other]
[AdvocacyAndLegalAid; inCodeSet; _CategoryCodeSet_Services_Other]
[CaseManagement; inCodeSet; _CategoryCodeSet_Services_Other]
[CheckupAndTest; inCodeSet; _CategoryCodeSet_Services_Other]
[Clothing; inCodeSet; _CategoryCodeSet_Services_Other]
[CommunitySupportServices; inCodeSet; _CategoryCodeSet_Services_Other]
[ComputerClass; inCodeSet; _CategoryCodeSet_Services_Other]
[ComputerOrInternetAccess; inCodeSet; _CategoryCodeSet_Services_Other]
[Counseling; inCodeSet; _CategoryCodeSet_Services_Other]
[DailyLifeSkills; inCodeSet; _CategoryCodeSet_Services_Other]
[DiseaseScreening; inCodeSet; _CategoryCodeSet_Services_Other]
[ExerciseAndFitness; inCodeSet; _CategoryCodeSet_Services_Other]
[FinancialEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[GovernmentBenefits; inCodeSet; _CategoryCodeSet_Services_Other]
[HealthEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFindHealthcare; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFindHousing; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFindSchool; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFindWork; inCodeSet; _CategoryCodeSet_Services_Other]
[HomeGoods; inCodeSet; _CategoryCodeSet_Services_Other]
[IndividualCounseling; inCodeSet; _CategoryCodeSet_Services_Other]
[InterviewTraining; inCodeSet; _CategoryCodeSet_Services_Other]
[JobPlacement; inCodeSet; _CategoryCodeSet_Services_Other]
[Meals; inCodeSet; _CategoryCodeSet_Services_Other]
[MedicalCare; inCodeSet; _CategoryCodeSet_Services_Other]
[MentalHealthCare; inCodeSet; _CategoryCodeSet_Services_Other]
[MentalHealthEvaluation; inCodeSet; _CategoryCodeSet_Services_Other]
[MoreEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[NavigatingTheSystem; inCodeSet; _CategoryCodeSet_Services_Other]
[OneOnOneSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[ParentingEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[PeerRecoveryCoaching; inCodeSet; _CategoryCodeSet_Services_Other]
[PeerSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[PersonalHygiene; inCodeSet; _CategoryCodeSet_Services_Other]
[PhysicalSafety; inCodeSet; _CategoryCodeSet_Services_Other]
[Recreation; inCodeSet; _CategoryCodeSet_Services_Other]
[ResumeDevelopment; inCodeSet; _CategoryCodeSet_Services_Other]
[ScreeningAndExams; inCodeSet; _CategoryCodeSet_Services_Other]
[SexEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[SkillsAndTraining; inCodeSet; _CategoryCodeSet_Services_Other]
[SpiritualSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[SupportGroups; inCodeSet; _CategoryCodeSet_Services_Other]
[SupportNetwork; inCodeSet; _CategoryCodeSet_Services_Other]
[TemporaryShelter; inCodeSet; _CategoryCodeSet_Services_Other]
[VirtualSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[WeatherRelief; inCodeSet; _CategoryCodeSet_Services_Other]
[AmericanSignLanguage; inCodeSet; _CategoryCodeSet_Languages]
[Arabic; inCodeSet; _CategoryCodeSet_Languages]
[Armenian; inCodeSet; _CategoryCodeSet_Languages]
[Chinese; inCodeSet; _CategoryCodeSet_Languages]
[English; inCodeSet; _CategoryCodeSet_Languages]
[French; inCodeSet; _CategoryCodeSet_Languages]
[Gujarati; inCodeSet; _CategoryCodeSet_Languages]
[Haitian; inCodeSet; _CategoryCodeSet_Languages]
[Hebrew; inCodeSet; _CategoryCodeSet_Languages]
[Hindi; inCodeSet; _CategoryCodeSet_Languages]
[Khmer; inCodeSet; _CategoryCodeSet_Languages]
[Kinyarwanda; inCodeSet; _CategoryCodeSet_Languages]
[Korean; inCodeSet; _CategoryCodeSet_Languages]
[Portuguese; inCodeSet; _CategoryCodeSet_Languages]
[Punjabi; inCodeSet; _CategoryCodeSet_Languages]
[Russian; inCodeSet; _CategoryCodeSet_Languages]
[Spanish; inCodeSet; _CategoryCodeSet_Languages]
[Swahili; inCodeSet; _CategoryCodeSet_Languages]
[Turkish; inCodeSet; _CategoryCodeSet_Languages]
[Ukrainian; inCodeSet; _CategoryCodeSet_Languages]
[Vietnamese; inCodeSet; _CategoryCodeSet_Languages]
[Yoruba; inCodeSet; _CategoryCodeSet_Languages]
[Available; inCodeSet; __CategoryCodeSet_Availability]
[Full; inCodeSet; __CategoryCodeSet_Availability]
[TemporarilyClosed; inCodeSet; __CategoryCodeSet_Availability]
[Free; inCodeSet; __CategoryCodeSet_Cost]
[ReducedCost; inCodeSet; __CategoryCodeSet_Cost]
[SlidingScale; inCodeSet; __CategoryCodeSet_Cost]
[Question; about; Rock Ministries of Philadelphia_Food Pantry]
[Question; about; Community of Compassion CDC_Food Pantry]
[Question; about; Families Forward_Emergency Shelter]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Best Behavioral Healthcare_Mental Health Services]
[Question; about; Overington House Inc_Mental Health Assistance]
[Question; about; Resources for Human Development-Pennsylvania_Kailo Haven]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; Resources for Human Development-Pennsylvania_RHD Fernwood Program]
[Question; about; NorthEast Treatment Centers - OTP_Medication-Assisted Treatment]
[Question; about; Conquerors Community Development Corporation_Various Community Events and Programs]
[Question; about; Church World Service Inc_Border Shelter Network and Call Center]
[Question; about; Addiction Medicine and Health Advocates Inc_Addiction Medicine And Health Advocates]
[Question; about; Rock Ministries of Philadelphia_Food Pantry]
[Question; about; University of Pennsylvania Perelman School of Medicine_Addiction Services]
[Question; about; Women In Transition_Substance Abuse Intervention]
[Question; about; Public Health Management Corporation_The Bridge]
[Question; about; KITHS_KITHS Kitchen and Garden]
[Question; about; Women In Transition_Substance Abuse Intervention]
[Question; about; East Park Revitalization Alliance_Food Pantry]
[Question; about; Merakey - Pennsylvania_Adult Substance Use Disorder Services]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; University of Pennsylvania Perelman School of Medicine_Addiction Services]
[Question; about; HELP USA Pennsylvania_Emergency Shelter]
[Question; about; Old Pine Community Center_Grab and Go Meals]
[Question; about; KITHS_KITHS Kitchen and Garden]
[Question; about; Casa de Consejeria_Intensive Outpatient Program]
[Question; about; Self Help Movement_Halfway House-(2B)]
[Question; about; Addiction Medicine and Health Advocates, Inc. (AMHA)_Addiction Medicine And Health Advocates]
[Question; about; The Greater Philadelphia Community Alliance_Food Distribution]
[Question; about; Greater Philadelphia Asian Social Service Center (GPASS)_Outpatient Treatment Program]
[Question; about; Public Health Management Corporation_New Pathways for Women Project]
[Question; about; Kingdom Life Christian Center_Food Distribution]
[Question; about; Resources for Human Development-Pennsylvania_RHD Fernwood Program]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Public Health Management Corporation_New Pathways for Women Project]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Jewish Relief Agency_Food Assistance and Relief]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Better Living Center_Community Support Services]
[Question; about; Youth Service Inc_Youth Emergency Service]
[Question; about; Church World Service Inc_Border Shelter Network and Call Center]
[Question; about; The Greater Philadelphia Community Alliance_Food Distribution]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Jewish Relief Agency_Food Assistance and Relief]
[Question; about; Families Forward_Emergency Shelter]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; Helping Hands Ministry Inc_Social Services -Basic Needs Assistance]
[Question; about; Pathways to Housing PA_Mental Health and Substance Abuse program]
[Question; about; Circle Counseling_Counseling]
[Question; about; Circle Counseling_Counseling]
[Question; about; Covenant House_Crisis Care Services]
[Question; about; SELF Inc_Station House Intake Center Services]
[Question; about; City of Philadelphia-Office of Homeless Services_City of Philadelphia, Office of Homeless Services-Prevention, Diversion and Intake]
[Question; about; Prevention Point Philadelphia_Drop In Center]
[Question; about; Helping Hands Ministry Inc_Social Services -Basic Needs Assistance]
[Question; about; Prevention Point Philadelphia_Drop In Center]
[Question; about; Rogers Behavioral Health_Recovery Services]
[Question; about; Pathways to Housing PA_Mental Health and Substance Abuse program]
[Question; about; University of Pennsylvania Perelman School of Medicine_Addiction Services]
[Question; about; Neighbor to Neighbor Community Development Corporation Inc_Food Cupboard]
[Question; about; City of Philadelphia-Office of Homeless Services_City of Philadelphia, Office of Homeless Services-Prevention, Diversion and Intake]
[Question; about; The Salvation Army-Greater Philadelphia_Red Shield Family Residence]
[Question; about; Bebashi_Second Helping Emergency Food Cupboard]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Emergency Disaster Services]
[Question; about; SELF Inc_Station House Intake Center Services]
[Question; about; Horizon House_Housing First Treatment Teams and the Housing First Model]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; Stenton Family Manor_Homeless Shelter]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Men and Women for Human Excellence, Inc. (MWFHE)_Residential Therapeutic Community]
[Question; about; Public Health Management Corporation_New Pathways for Women Project]
[Question; about; Covenant House Pennsylvania_Youth Services]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Child Guidance Resource Centers_Drug and Alcohol Services]
[Question; about; Bebashi_Second Helping Emergency Food Cupboard]
[Question; about; Prevention Point Philadelphia_Drop In Center]
[Question; about; Mazzoni Center_Intensive Outpatient Program at Mazzoni Center]
[Question; about; Bebashi_Second Helping Emergency Food Cupboard]
[Question; about; City of Philadelphia-Office of Homeless Services_City of Philadelphia, Office of Homeless Services-Prevention, Diversion and Intake]
[Question; about; Bebashi_Second Helping Emergency Food Cupboard]
[Question; about; Resources for Human Development-Pennsylvania_RHD Fernwood Program]
[Question; about; East Park Revitalization Alliance_Food Pantry]
[Question; about; African Family Health Organization_Human Services]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Public Health Management Corporation_The Bridge]
[Question; about; Child Guidance Resource Centers_Drug and Alcohol Services]
[Question; about; Neighbor to Neighbor Community Development Corporation Inc_Food Cupboard]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Emergency Disaster Services]
[Question; about; Stenton Family Manor_Homeless Shelter]
[Question; about; Greater Philadelphia Asian Social Service Center (GPASS)_Outpatient Treatment Program]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; The Behavioral Wellness Center at Girard_Miracles In Progress]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Families Forward_Emergency Shelter]
[Question; about; Women In Transition_Substance Abuse Intervention]
[Question; about; Merakey - Pennsylvania_Adult Substance Use Disorder Services]
[Question; about; Overington House Inc_Mental Health Assistance]
[Question; about; Church World Service Inc_Border Shelter Network and Call Center]
[Question; about; Kingdom Life Christian Center_Food Distribution]
[Question; about; Circle Counseling_Counseling]
[Question; about; Resources for Human Development-Pennsylvania_Kailo Haven]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; SELF Inc_Station House Intake Center Services]
[Question; about; Addiction Medicine and Health Advocates, Inc. (AMHA)_Addiction Medicine And Health Advocates]
[Question; about; Bebashi_Second Helping Emergency Food Cupboard]
[Question; about; Public Health Management Corporation_The Bridge]
[Question; about; NorthEast Treatment Centers - OTP_Medication-Assisted Treatment]
[Question; about; Prevention Point Philadelphia_Drop In Center]
[Question; about; Asociacion Puertorriquenos en Marcha_Substance Use Treatment]
[Question; about; Public Health Management Corporation_The Bridge]
[Question; about; HELP USA Pennsylvania_Emergency Shelter]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; Horizon House_Housing First Treatment Teams and the Housing First Model]
[Question; about; Stenton Family Manor_Homeless Shelter]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Casa de Consejeria_Intensive Outpatient Program]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Public Health Management Corporation_New Pathways for Women Project]
[Question; about; The Greater Philadelphia Community Alliance_Food Distribution]
[Question; about; Women In Transition_Substance Abuse Intervention]
[Question; about; Church World Service Inc_Border Shelter Network and Call Center]
[Question; about; Horizon House_Housing First Treatment Teams and the Housing First Model]
[Question; about; Episcopal Community Services_Food Pantry]
[Question; about; Best Behavioral Healthcare_Mental Health Services]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Merakey - Pennsylvania_Adult Substance Use Disorder Services]
[Question; about; Citizens Acting Together Can Help Inc_Packer Community Integrated Recovery Center]
[Question; about; The Behavioral Wellness Center at Girard_Miracles In Progress]
[Question; about; Women In Transition_Substance Abuse Intervention]
[Question; about; Families Forward_Emergency Shelter]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; Casa de Consejeria_Intensive Outpatient Program]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; City of Philadelphia-Office of Homeless Services_City of Philadelphia, Office of Homeless Services-Prevention, Diversion and Intake]
[Question; about; Casa de Consejeria_Intensive Outpatient Program]
[Question; about; Citizens Acting Together Can Help Inc_Packer Community Integrated Recovery Center]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Addiction Medicine and Health Advocates, Inc. (AMHA)_Addiction Medicine And Health Advocates]
[Question; about; Catholic Social Services of the Archdiocese of Philadelphia and Saint John's Hospice_Good Shepherd]
[Question; about; SELF Inc_Station House Intake Center Services]
[Question; about; Livengrin Foundation_Residential Inpatient Drug and Alcohol Treatment]
[Question; about; Horizon House_Navigation Center]
[Question; about; Youth Service Inc_Youth Emergency Service]
[Question; about; St. Barbara's Roman Catholic Church_Food Baskets]
[Question; about; Child Guidance Resource Centers_Drug and Alcohol Services]
[Question; about; Old Pine Community Center_Grab and Go Meals]
[Question; about; Youth Advocate Programs of Pennsylvania_Intensive Outpatient Programs or Day Treatment - Youth]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Emergency Disaster Services]
[Question; about; US Department of Veterans Affairs - Veterans Health Administration_Substance Use Disorder Program]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; Families Forward_Emergency Shelter]
[Question; about; Old Pine Community Center_Grab and Go Meals]
[Question; about; Better Living Center_Community Support Services]
[Question; about; Community of Compassion CDC_Food Pantry]
[Question; about; African Family Health Organization_Human Services]
[Question; about; Resources for Human Development-Pennsylvania_Kailo Haven]
[Question; about; Families Forward_Emergency Shelter]
[Question; about; Conquerors Community Development Corporation_Various Community Events and Programs]
[Question; about; Saint Helena_St. Helena Food Cupboard]
[Question; about; Catholic Social Services of the Archdiocese of Philadelphia and Saint John's Hospice_Good Shepherd]
[Question; about; Citizens Acting Together Can Help Inc_Packer Community Integrated Recovery Center]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; Rock Ministries of Philadelphia_Food Pantry]
[Question; about; Kingdom Life Christian Center_Food Distribution]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; Wedge Recovery Center_Early Intervention Program]
[Question; about; Covenant House Pennsylvania_Youth Services]
[Question; about; Asociacion Puertorriquenos en Marcha_Substance Use Treatment]
[Question; about; Fresh Start Foundation_Emergency Housing for Veterans]
[Question; about; Better Living Center_Community Support Services]
[Question; about; HELP USA Pennsylvania_Emergency Shelter]
[Question; about; Fresh Start Foundation_Emergency Housing for Veterans]
[Question; about; Youth Service Inc_Youth Emergency Service]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Men and Women for Human Excellence, Inc. (MWFHE)_Residential Therapeutic Community]
[Question; about; Youth Advocate Programs of Pennsylvania_Intensive Outpatient Programs or Day Treatment - Youth]
[Question; about; St. Barbara's Roman Catholic Church_Food Baskets]
[Question; about; Fresh Start Foundation_Emergency Housing for Veterans]
[Question; about; Community of Compassion CDC_Food Pantry]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Neighbor to Neighbor Community Development Corporation Inc_Food Cupboard]
[Question; about; The Salvation Army-Greater Philadelphia_Red Shield Family Residence]
[Question; about; Citizens Acting Together Can Help Inc_Packer Community Integrated Recovery Center]
[Question; about; Casa de Consejeria_Intensive Outpatient Program]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Emergency Disaster Services]
[Question; about; Pathways to Housing PA_Mental Health and Substance Abuse program]
[Question; about; Kingdom Life Christian Center_Food Distribution]
[Question; about; St. Barbara's Roman Catholic Church_Food Baskets]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Conquerors Community Development Corporation_Various Community Events and Programs]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; Philadelphia FIGHT Community Health Centers_Teach Recovery Education Empowerment IOP]
[Question; about; Neighbor to Neighbor Community Development Corporation Inc_Food Cupboard]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; African Family Health Organization_Human Services]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; HELP USA Pennsylvania_Emergency Shelter]
[Question; about; University of Pennsylvania Perelman School of Medicine_Addiction Services]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Pathways to Housing PA_Mental Health and Substance Abuse program]
[Question; about; Jewish Relief Agency_Food Assistance and Relief]
[Question; about; Neighbor to Neighbor Community Development Corporation Inc_Food Cupboard]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Old Pine Community Center_Grab and Go Meals]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Covenant House_Crisis Care Services]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; KITHS_KITHS Kitchen and Garden]
[Question; about; The Salvation Army-Greater Philadelphia_Red Shield Family Residence]
[Question; about; Resources for Human Development-Pennsylvania_RHD Fernwood Program]
[Question; about; East Park Revitalization Alliance_Food Pantry]
[Question; about; St. Barbara's Roman Catholic Church_Food Baskets]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Philadelphia FIGHT Community Health Centers_Teach Recovery Education Empowerment IOP]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; Covenant House_Crisis Care Services]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; St. Barbara's Roman Catholic Church_Food Baskets]
[Question; about; Addiction Medicine and Health Advocates, Inc. (AMHA)_Addiction Medicine And Health Advocates]
[Question; about; Lutheran Settlement House_Jane Addams Place]
[Question; about; The Salvation Army-Greater Philadelphia_Red Shield Family Residence]
[Question; about; Public Health Management Corporation_The Bridge]
[Question; about; Casa de Consejeria_Intensive Outpatient Program]
[Question; about; The Greater Philadelphia Community Alliance_Food Distribution]
[Question; about; Better Living Center_Community Support Services]
[Question; about; Jewish Relief Agency_Food Assistance and Relief]
[Question; about; Saint Helena_St. Helena Food Cupboard]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Youth Service Inc_Youth Emergency Service]
[Question; about; Merakey - Pennsylvania_Adult Substance Use Disorder Services]
[Question; about; Stenton Family Manor_Homeless Shelter]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; Rock Ministries of Philadelphia_Food Pantry]
[Question; about; Community of Compassion CDC_Food Pantry]
[Question; about; Horizon House_Navigation Center]
[Question; about; Prevention Point Philadelphia_Drop In Center]
[Question; about; Men and Women for Human Excellence, Inc. (MWFHE)_Residential Therapeutic Community]
[Question; about; The Behavioral Wellness Center at Girard_Miracles In Progress]
[Question; about; Covenant House Pennsylvania_Youth Services]
[Question; about; SELF Inc_Station House Intake Center Services]
[Question; about; The Salvation Army-Greater Philadelphia_Red Shield Family Residence]
[Question; about; Livengrin Foundation_Residential Inpatient Drug and Alcohol Treatment]
[Question; about; SELF Inc_Station House Intake Center Services]
[Question; about; Bethesda Project_Church-Based Shelters]
[Question; about; The Attic Youth Center_Mental Health Counseling]
[Question; about; Stenton Family Manor_Homeless Shelter]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; The Behavioral Wellness Center at Girard_Miracles In Progress]
[Question; about; Addiction Medicine and Health Advocates, Inc. (AMHA)_Addiction Medicine And Health Advocates]
[Question; about; Stenton Family Manor_Homeless Shelter]
[Question; about; Public Health Management Corporation_New Pathways for Women Project]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; The Salvation Army-Greater Philadelphia_Red Shield Family Residence]
[Question; about; The Greater Philadelphia Community Alliance_Food Distribution]
[Question; about; City of Philadelphia-Office of Homeless Services_City of Philadelphia, Office of Homeless Services-Prevention, Diversion and Intake]
[Question; about; Bethesda Project_My Brother's House]
[Question; about; Community of Compassion CDC_Food Pantry]
[Question; about; Wedge Recovery Center_The Recovery and Education Center]
[Question; about; Merakey - Pennsylvania_Adult Substance Use Disorder Services]
[Question; about; Salvation Army Eastern Pennsylvania and Delaware_Comprehensive Shelters]
[Question; about; Fresh Start Foundation_Emergency Housing for Veterans]
[Question; about; Stenton Family Manor_Homeless Shelter]
[Question; about; Conquerors Community Development Corporation_Various Community Events and Programs]
[Question; about; Philadelphia FIGHT Community Health Centers_Teach Recovery Education Empowerment IOP]
[Question; about; Citizens Acting Together Can Help Inc_Packer Community Integrated Recovery Center]
[Question; about; Fresh Start Foundation_Emergency Housing for Veterans]
[Question; about; Pathways to Housing PA_Mental Health and Substance Abuse program]
